frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
346,11.545,10,10.0,1,1,2,22.525
347,11.578,9,9.6,1,1,2,22.838
348,11.612,8,9.2,1,1,1,22.595
349,11.645,9,9.2,1,1,1,22.72
350,11.678,9,9.0,1,1,1,22.429
351,11.712,10,9.0,1,1,1,23.045
352,11.745,9,9.0,1,1,1,22.8
353,11.778,8,9.0,1,0,0,22.898
354,11.812,8,8.8,1,0,0,22.846
355,11.845,11,9.2,1,0,0,22.813
356,11.879,11,9.4,1,0,0,22.534
357,11.912,9,9.4,1,0,0,22.781
358,11.945,10,9.8,1,1,1,22.609
359,11.979,11,10.4,1,1,1,22.954
360,12.012,10,10.2,1,1,1,22.431
361,12.045,9,9.8,1,1,1,22.476
362,12.079,10,10.0,1,1,1,22.541
363,12.112,9,9.8,1,1,1,22.806
364,12.145,10,9.6,1,1,1,22.773
365,12.179,11,9.8,1,1,1,22.665
366,12.212,10,10.0,1,1,2,22.267
367,12.246,12,10.4,1,1,2,23.21
368,12.279,11,10.8,1,1,2,22.742
369,12.312,12,11.2,1,1,2,22.68
370,12.346,12,11.4,1,1,2,22.693
371,12.379,10,11.4,1,1,2,22.876
372,12.412,11,11.2,1,1,2,22.518
373,12.446,11,11.2,1,1,2,22.782
374,12.479,11,11.0,1,1,2,22.533
375,12.513,11,10.8,1,1,2,22.872
376,12.546,11,11.0,1,1,3,22.344
377,12.579,11,11.0,1,1,3,22.776
378,12.613,11,11.0,1,1,3,22.666
379,12.646,13,11.4,1,1,3,22.503
380,12.679,12,11.6,1,1,2,21.994
381,12.713,11,11.6,1,1,2,21.873
382,12.746,11,11.6,1,1,2,22.477
383,12.779,10,11.4,1,1,1,22.552
384,12.813,10,10.8,1,1,1,23.586
385,12.846,11,10.6,1,1,1,23.834
386,12.88,11,10.6,1,1,1,23.944
387,12.913,11,10.6,1,1,1,24.07
388,12.946,11,10.8,1,1,1,23.706
389,12.98,11,11.0,1,1,2,22.687
390,13.013,11,11.0,1,1,2,22.447
391,13.046,11,11.0,1,1,2,22.436
